name,users,statuses,6,12,24,72
econtwitter.net,5064.0,29203.0,9.0,16.0,35.0,190.0
lou.lt,4986.0,87012.0,0.0,0.0,2.0,4.0
mstdn.ca,4878.0,37290.0,174.0,417.0,966.0,2367.0
scholar.social,4839.0,325122.0,0.0,-1.0,-1.0,2.0
mstdn.guru,4663.0,1520091.0,1.0,1.0,1.0,3.0
pouet.chapril.org,4521.0,155109.0,-2.0,-3.0,-3.0,-33.0
gensokyo.town,4504.0,489024.0,0.0,1.0,1.0,1.0
ura-mstdn.com,4429.0,36002.0,0.0,3.0,4.0,16.0
pewtix.com,4392.0,5365.0,4.0,16.0,28.0,236.0
dju.social,4261.0,4573.0,36.0,123.0,295.0,1209.0
mastodont.cat,4229.0,686909.0,47.0,45.0,44.0,71.0
metalhead.club,4220.0,162706.0,10.0,24.0,56.0,315.0
twit.social,4188.0,30216.0,67.0,100.0,143.0,416.0
vocalodon.net,4063.0,4241792.0,12.0,18.0,61.0,184.0
linuxrocks.online,4033.0,180554.0,1.0,2.0,2.0,11.0
www.sociale.network,4018.0,145271.0,1.0,4.0,10.0,17.0
sociale.network,4018.0,145271.0,1.0,4.0,10.0,17.0
ruby.social,3819.0,40462.0,3.0,12.0,19.0,100.0
social.targaryen.house,3801.0,107743.0,0.0,0.0,0.0,0.0
1234.as,3795.0,516565.0,0.0,2.0,7.0,19.0
social.politicaconciencia.org,3758.0,218868.0,6.0,13.0,22.0,131.0
todon.eu,3723.0,240549.0,0.0,-1.0,-1.0,23.0
mastodon.eus,3608.0,159641.0,4.0,3.0,17.0,64.0
freeatlantis.com,3549.0,1654191.0,1.0,1.0,1.0,2.0
bear.community,3468.0,52155.0,5.0,5.0,7.0,20.0
witches.live,3456.0,508717.0,12.0,29.0,42.0,122.0
lor.sh,3389.0,241372.0,1.0,1.0,4.0,23.0
writing.exchange,3301.0,162861.0,0.0,0.0,-1.0,13.0
rollenspiel.social,3242.0,78514.0,2.0,3.0,7.0,58.0
photog.social,3172.0,105369.0,1.0,7.0,14.0,62.0
dresden.network,3165.0,70850.0,1.0,5.0,10.0,37.0
tabletop.social,3123.0,108575.0,1.0,2.0,2.0,8.0
newsie.social,3027.0,12074.0,51.0,105.0,176.0,816.0
bgme.me,3014.0,2942700.0,0.0,2.0,1.0,3.0
yiff.life,2943.0,751361.0,0.0,2.0,3.0,23.0
toot.cafe,2913.0,266590.0,0.0,0.0,0.0,-1.0
cybre.space,2860.0,3346540.0,0.0,0.0,-1.0,-2.0
activism.openworlds.info,2826.0,57326.0,0.0,-1.0,-1.0,86.0
freeradical.zone,2761.0,406674.0,0.0,0.0,0.0,2.0
xarxa.cloud,2706.0,46334.0,0.0,0.0,-1.0,23.0
hispagatos.space,2686.0,68364.0,-1.0,-5.0,4.0,24.0
hearthtodon.com,2675.0,428673.0,0.0,0.0,0.0,0.0
wandering.shop,2621.0,655022.0,2.0,53.0,53.0,55.0
mstdn.fr,2516.0,294394.0,0.0,0.0,0.0,1.0
acg.mn,2442.0,145519.0,0.0,0.0,1.0,-1.0
social.vivaldi.net,2410.0,5113.0,255.0,526.0,950.0,
ika.queloud.net,2354.0,1372025.0,2.0,2.0,2.0,4.0
